Trial,time,PositionX,PositionY,PositionZ,frameDiff,
1,9.080018,-2.789836,0.1746958,10,0.1564144,
1,9.100019,-2.609847,0.0794071,10,0.2322047,
1,9.120019,-2.329275,-0.05823195,10,0.1785827,
1,9.140019,-2.080466,-0.2011648,10,,
1,9.16002,-1.916357,-0.3070408,10,0.09380671,
1,9.18002,-1.709899,-0.465855,10,0.05823201,
1,9.200021,-1.582848,-0.5770248,10,,
1,9.220021,-1.424033,-0.7411328,10,0.04880659,
1,9.240022,-1.334039,-0.8523029,10,,
1,9.260022,-1.249337,-1.016411,10,0.147468,
1,9.280023,-1.212282,-1.132874,10,0.2186549,
1,9.300023,-1.1964,-1.291688,10,,
1,9.320024,-1.1964,-1.392271,10,0.3225315,
1,9.340024,-1.238751,-1.519322,10,,
1,9.360024,-1.291689,-1.604023,10,0.4968858,
1,9.380025,-1.39227,-1.699311,10,,
1,9.400025,-1.482266,-1.75225,10,0.7232589,
1,9.420026,-1.630492,-1.821069,10,0.8803643,
1,9.440026,-1.736369,-1.852832,10,0.9687666,
1,9.460027,-1.916357,-1.884595,10,1.096533,
1,9.480027,-2.048703,-1.895182,10,1.160998,
1,9.500028,-2.28163,-1.900476,10,1.231991,
1,9.520028,-2.445739,-1.900476,10,1.264821,
1,9.540029,-2.68396,-1.900476,10,1.294171,
1,9.560029,-2.83748,-1.900476,10,1.288528,
1,9.580029,-3.075701,-1.900476,10,1.267532,
1,9.60003,-3.218634,-1.911064,10,1.238797,
1,9.62003,-3.398624,-1.937533,10,1.148403,
1,9.640031,-3.515088,-1.969296,10,1.097658,
1,9.660031,-3.673902,-2.038115,10,1.016439,
1,9.680032,-3.753309,-2.091053,10,0.932627,
1,9.700032,-3.853891,-2.175754,10,0.7817826,
1,9.720033,-3.917417,-2.244574,10,0.6730629,
1,9.740033,-3.965061,-2.318687,10,0.4858776,
1,9.760034,-4.017999,-2.440445,10,0.4376921,
1,9.780034,-4.055056,-2.567496,10,0.3978466,
1,9.800035,-4.065643,-2.662785,10,0.4504715,
1,9.820035,-4.065643,-2.752779,10,0.5206535,
1,9.840035,-4.055056,-2.885124,10,0.6441073,
1,9.860036,-4.012705,-3.017469,10,0.7390503,
1,9.880036,-3.965061,-3.118052,10,0.803212,
1,9.900037,-3.885654,-3.260985,10,0.8714873,
1,9.920037,-3.827422,-3.340392,10,0.8797922,
1,9.940038,-3.721546,-3.462149,10,0.881462,
1,9.960038,-3.642139,-3.541556,10,0.8515783,
1,9.980039,-3.552144,-3.620963,10,0.7367716,
1,10.00004,-3.39333,-3.742721,10,0.7490503,
1,10.02004,-3.276866,-3.81154,10,0.6028426,
1,10.04004,-3.10217,-3.906829,10,0.6159961,
1,10.06004,-2.964532,-3.975649,10,0.5317057,
1,10.08004,-2.72631,-4.076231,10,0.5700859,
1,10.10004,-2.477501,-4.160932,10,0.5741772,
1,10.12004,-2.3081,-4.21387,10,0.6086954,
1,10.14004,-2.133404,-4.266808,10,,
1,10.16004,-1.889889,-4.346215,10,0.6976985,
1,10.18004,-1.646373,-4.404447,10,0.7372662,
1,10.20004,-1.487559,-4.43621,10,,
1,10.22004,-1.2811,-4.47856,10,0.7820689,
1,10.24004,-1.148756,-4.494441,10,,
1,10.26005,-0.9740607,-4.515617,10,0.7973285,
1,10.28005,-0.8681837,-4.531498,10,,
1,10.30005,-0.7676017,-4.542086,10,,
1,10.32005,-0.6405505,-4.563261,10,0.8190527,
1,10.34005,-0.5134993,-4.579143,10,,
1,10.36005,-0.4393853,-4.595024,10,0.8332831,
1,10.38005,-0.344097,-4.605611,10,,
1,10.40005,-0.2805711,-4.610906,10,0.8308749,
1,10.42005,-0.2064583,-4.610906,10,0.8093293,
1,10.44005,-0.1799897,-4.610906,10,0.7778295,
1,10.46005,-0.169401,-4.600317,10,0.7291822,
1,10.48005,-0.169401,-4.579143,10,0.6374584,
1,10.50005,-0.169401,-4.557967,10,0.5506071,
1,10.52005,-0.1905771,-4.510323,10,0.3743287,
1,10.54005,-0.2117521,-4.452091,10,0.2479625,
1,10.56005,-0.2170452,-4.415034,10,,
1,10.58005,-0.2223401,-4.372684,10,,
1,10.60005,-0.2223401,-4.314452,10,,
1,10.62005,-0.2223401,-4.250926,10,,
1,10.64005,-0.2064583,-4.21387,10,,
1,10.66005,-0.1746954,-4.166226,10,,
1,10.68005,-0.142933,-4.134463,10,,
1,10.70006,-0.1058757,-4.1027,10,,
1,10.72006,-0.0423498,-4.076231,10,,
1,10.74006,0.02117611,-4.060349,10,,
1,10.76006,0.06352592,-4.060349,10,,
1,10.78006,0.1164644,-4.081524,10,,
1,10.80006,0.1482267,-4.1027,10,,
1,10.82006,0.1694016,-4.134463,10,,
1,10.84006,0.1852828,-4.197989,10,,
1,10.86006,0.1852828,-4.272101,10,,
1,10.88006,0.1746954,-4.319746,10,,
1,10.90006,0.1482267,-4.36739,10,,
1,10.92006,0.08470203,-4.43621,10,,
1,10.94006,0.005294937,-4.494441,10,,
