Trial,time,PositionX,PositionY,PositionZ,frameDiff,userLevel,trialOffset,levelOffset
5,16.78019,6.624933,-0.4550612,10,0,3,10,5
5,16.80019,6.6818,-0.4209316,10,0.1427176,3,10,5
5,16.82019,6.772786,-0.3754255,10,0.1453961,3,10,5
5,16.84019,6.829652,-0.3412959,10,0.1457566,3,10,5
5,16.8602,6.897892,-0.3185424,10,0,3,10,5
5,16.8802,6.932012,-0.3071663,10,0.1641192,3,10,5
5,16.9002,6.966132,-0.2957898,10,0,3,10,5
5,16.9202,6.988878,-0.2844128,10,0,3,10,5
5,16.9402,7.011625,-0.2730364,10,0.176694,3,10,5
5,16.9602,7.068491,-0.2616602,10,0,3,10,5
5,16.9802,7.113985,-0.2502829,10,0.2085942,3,10,5
5,17.0002,7.148104,-0.2389067,10,0,3,10,5
5,17.0202,7.216343,-0.2161533,10,0.2308351,3,10,5
5,17.0402,7.27321,-0.2047771,10,0.2428337,3,10,5
5,17.0602,7.34145,-0.193401,10,0.2583662,3,10,5
5,17.0802,7.375569,-0.1820236,10,0.2496306,3,10,5
5,17.1002,7.432436,-0.1706475,10,0.2460724,3,10,5
5,17.1202,7.466556,-0.1592711,10,0.2283259,3,10,5
5,17.1402,7.512049,-0.147894,10,0.2103412,3,10,5
5,17.1602,7.546169,-0.1365176,10,0.1880598,3,10,5
5,17.1802,7.603036,-0.1365176,10,0.1789512,3,10,5
5,17.2002,7.648528,-0.1251414,10,0.1575271,3,10,5
5,17.2202,7.728141,-0.1137641,10,0.1320523,3,10,5
5,17.2402,7.773636,-0.1137641,10,0.1191443,3,10,5
5,17.2602,7.932861,-0.09101182,10,0.1016449,3,10,5
5,17.2802,7.989727,-0.09101182,10,0.081326,3,6,5

6,0.02,-7.989727,0.04550695,10,0,3,6,11
6,0.04,-7.841874,0.04550695,10,0.1448488,3,6,11
6,0.06,-7.705395,0.04550695,10,0.1754748,3,6,11
6,0.08,-7.580288,0.04550695,10,0.265764,3,6,11
6,0.09999999,-7.534796,0.02275467,10,0.3163225,3,6,11
6,0.12,-7.47793,0.01137733,10,0.3710392,3,6,11
6,0.14,-7.44381,-0.01137525,10,0.4119316,3,6,11
6,0.16,-7.398316,-0.03412873,10,0.4091144,3,6,11
6,0.18,-7.37557,-0.0568822,10,0.3899174,3,6,11
6,0.2,-7.352823,-0.09101182,10,0.3672104,3,6,11
6,0.22,-7.34145,-0.1365176,10,0.3171768,3,6,11
6,0.24,-7.30733,-0.2161533,10,0.2661343,3,6,11
6,0.26,-7.284584,-0.2502829,10,0.1453087,3,6,11
6,0.28,-7.261837,-0.3071663,10,0.1048025,3,6,11
6,0.3,-7.250463,-0.3640494,10,0,3,6,11
6,0.32,-7.227717,-0.4550612,10,0,3,6,11
6,0.34,-7.20497,-0.5005682,10,0.1402082,3,6,11
